Group membership record for Fallen Star Family (avatar key, avatar name, last online, land contribution)
01edcbc6-eea4-470b-9ec2-cb1e13c60ed3,Madison WindSong (Sheree7),2016/04/28,0
02199778-2a7e-47b9-b0eb-43366caadffb,کϯεℓℓα ƒαℓℓεη (RunnerGurl14),2016/02/09,0
065e5a0f-37ef-4ead-b56d-115128705771,νiαяяα кαѕѕ (VampireKat14),2016/04/28,0
0a682201-9bca-4a8a-865c-93c4412d48cd,Pure Chaos (TokerJones),Online,0
0c5de764-e766-4007-965b-f701209a8e8e,Shίvαughη Sϯαŗshίηε (Shivaughn),2016/04/17,0
0d3d595f-aa46-4164-81e5-70ac4ddfdfcd,کεŕεηιtү (Mordacious Serenity),2016/03/27,0
0eb9ea03-609b-416a-aef4-363c6eb98781,Wàℓ ÑïgђϯŦяøsϯ (Walid Dereham),2016/04/28,0
11009351-8a45-4fd2-ab43-6e38eabae337,Άyđŗєη ÑïgђϯŦяøsϯ (AydrenTheKid),2016/03/03,0
12b9e342-f3f0-4b58-8c7b-72bd5e350741, Ļëαh Mάяίάħ ÑïgђϯŦяøsϯ (LeeBee1990),2016/04/13,0
136bf9a5-bb9b-45dc-b476-4016e3791fd6,Tεnni Wïŋđđąŋƈεŗ (Teninista),Online,0
2417452e-bb03-4fd4-a457-bcc95b8e6216,Jøђɳɳʎ G尺ïмм (JohnathanGrimm),2016/04/16,0
28259976-5884-4c4f-bf3e-ba1be070a0b5,Umbralamina,Online,0
28f4700e-1ac9-4ff4-8ff6-37fff470d766, ʗσяү кαѕѕ (CoryVerner),2016/04/28,0
2b1b3cea-503c-4bf2-bd83-d1aeab82dbb1,Ͽ Ąƅαɡαίɭ Ω ℭħąѻᵴ Ω Sϯαŗshίηε Ͼ (PhoenixRising726),2016/03/08,0
2b6b24c8-b683-44b3-8fca-2855285fd05a,Nøηყ ƊαŗkBℓøøм (An0nym0us001),2016/04/25,0
2cbc381d-38e9-403d-b34c-d3550d5a1ed7,Єϯєŗηαϯєє ƊαŗkBℓøøм (Eternatee),Online,0
2cbc3955-cfb4-4437-988f-5840cf1f2003,Ⓙuηε ÑïgђϯŦяøsϯ Sϯαŗshίηε (redjune22),Online,0
2eef5c63-7bf6-4345-a8ea-99535f2e0c4a, Łєşϯαϯ  ƊαŗkBℓøøм (Biggy351979),Online,0
36ea30bb-f425-404e-896e-e73f31909149,Ɗαηηу Řȼвȼℓ ƊαŗkBℓøøм (djrebel82),2016/04/28,0
377abc11-27fe-4e7b-99c7-fe02c623b855,Aηđгσmєđα ßισσđвαηє (SilverKitsune18),2016/04/23,0
38843c91-07e9-416f-a2d7-fce0ae13dad6,crash (xxpxxeli),2016/04/28,0
38fdaba6-06db-44d3-9819-7ce80384a029, ღ ƊєαƒĻєģαcყ ƊαŗkBℓøøм ღ (DeafLegacy),2016/04/28,0
3994a680-327c-44dc-a3c7-c10655018592,miseryee,2016/04/20,0
39ed9228-0774-4bba-8552-341581e6600d,Rαүѵεε  Ʀαyηε Sϯαŗshίηε (nyyl15),Online,0
3a6c4603-1b7f-4b40-9c87-882d9de9c0df,ЅƬΣLIΘЅ Sϯαŗshίηε (stelios34),2016/04/28,0
3af181de-938a-4bb3-93bb-4d5677c30e58,: 尺євєℓ ÑïgђϯŦяøsϯ (RebelChaos69),2016/04/13,0
3cba8ec9-ce9d-46fa-97bb-3d79f3628c94,Magic Serendipity,2016/04/22,0
3d0717d5-08ba-450b-8df0-d97d5fec14e8,ψ Ąŗcђȼŗ M. ƊαŗkBℓøøм ψ (ArcherMaxim),2016/04/26,0
3e50df10-4f27-4c28-bbfc-86ca1289ea1e,KAмeLıαLøρeš (KAmeLiaLopes),2016/04/15,0
3e91eebf-603c-4965-9d28-23649c58cfff,Ãяία Ʀαyηε Sϯαŗshίηε (AriaSkyx),2016/04/28,0
45b3c3b8-fdf0-4b6b-8347-b5dee1e8c7ab,Άℓεҳ ÑïgђϯŦяøsϯ (Humorly),2016/04/21,0
45d36d65-92df-4129-9959-162fa3f18546,Ǻʙʝʛɑɨʟ ЇѵΨ Ẅṳⱡᶂӊӓȓȶȟ (AbeySenna),2016/04/23,0
4a3549be-2b1f-49d3-98dd-1f35e3017444,Shiv (Shivhan),2016/04/20,0
4c2f665c-27d7-4ed2-904f-5c1f41d724ea,Badger Nightfrost (Badger87),2016/04/24,0
4e1f415e-5513-47e3-8322-d488b0693e40,Jon Sϯαŗshίηε (Kayanous),Online,0
4faad2bb-60aa-41f2-ae76-ddf197b9817a,彡 Katerina 彡 (katerinaelenah),2016/04/06,0
501c05ec-7ef6-4479-bcbd-fe3ce3b1cdbb,DarkAngelofShadow,2016/04/23,0
